t;q1;q2;q1dot;q2dot;x;y
0;0.488692191;-0.848230016;0;0;0.681609755;0.080366629
0.002722723;0.488694445;-0.848226472;0.001655494;0.002602591;0.681609988;0.080369267
0.005445445;0.488701202;-0.848215849;0.003307671;0.005199967;0.681610685;0.080377175
0.008168168;0.488712454;-0.848198161;0.004956531;0.007792127;0.681611847;0.080390341
0.010890891;0.48872819;-0.848173422;0.006602072;0.010379072;0.681613471;0.080408755
0.013613614;0.488748402;-0.848141647;0.008244296;0.0129608;0.681615556;0.080432407
0.016336336;0.488773081;-0.848102849;0.009883202;0.015537314;0.681618101;0.080461286
0.019059059;0.488802217;-0.848057044;0.011518791;0.018108611;0.681621103;0.080495383
0.021781782;0.488835803;-0.848004245;0.013151062;0.020674693;0.681624561;0.080534686
0.024504505;0.488873828;-0.847944466;0.014780016;0.02323556;0.681628473;0.080579185
0.027227227;0.488916284;-0.847877722;0.016405652;0.02579121;0.681632836;0.080628871
0.02994995;0.488963161;-0.847804026;0.01802797;0.028341646;0.681637649;0.080683732
0.032672673;0.489014451;-0.847723393;0.01964697;0.030886865;0.681642909;0.080743759
0.035395395;0.489070144;-0.847635838;0.021262653;0.033426869;0.681648613;0.080808941
0.038118118;0.489130232;-0.847541374;0.022875019;0.035961657;0.681654759;0.080879269
0.040840841;0.489194706;-0.847440015;0.024484067;0.03849123;0.681661344;0.080954731
0.043563564;0.489263556;-0.847331777;0.026089797;0.041015587;0.681668365;0.081035319
0.046286286;0.489336774;-0.847216672;0.027692209;0.043534729;0.681675818;0.081121021
0.049009009;0.489414349;-0.847094715;0.029291304;0.046048655;0.681683701;0.081211829
0.051731732;0.489496275;-0.846965921;0.030887081;0.048557365;0.681692009;0.081307731
0.054454454;0.48958254;-0.846830304;0.032479541;0.051060859;0.681700741;0.081408719
0.057177177;0.489673137;-0.846687877;0.034068683;0.053559139;0.681709891;0.081514781
0.0598999;0.489768057;-0.846538655;0.035654507;0.056052202;0.681719457;0.081625909
0.062622623;0.489867289;-0.846382652;0.037237014;0.05854005;0.681729433;0.081742092
0.065345345;0.489970826;-0.846219883;0.038816203;0.061022682;0.681739817;0.08186332
0.068068068;0.490078657;-0.846050361;0.040392074;0.063500099;0.681750605;0.081989584
0.070790791;0.490190775;-0.845874102;0.041964628;0.065972299;0.68176179;0.082120874
0.073513514;0.490307171;-0.845691118;0.043533865;0.068439285;0.681773371;0.08225718
0.076236236;0.490427834;-0.845501424;0.045099783;0.070901055;0.681785341;0.082398492
0.078958959;0.490552756;-0.845305035;0.046662384;0.073357609;0.681797696;0.082544801
0.081681682;0.490681928;-0.845101964;0.048221668;0.075808947;0.681810432;0.082696096
0.084404404;0.490815341;-0.844892226;0.049777633;0.07825507;0.681823544;0.082852369
0.087127127;0.490952987;-0.844675835;0.051330281;0.080695977;0.681837026;0.083013609
0.08984985;0.491094855;-0.844452805;0.052879612;0.083131669;0.681850873;0.083179807
0.092572573;0.491240937;-0.844223151;0.054425625;0.085562145;0.681865081;0.083350954
0.095295295;0.491391223;-0.843986886;0.05596832;0.087987405;0.681879644;0.083527039
0.098018018;0.491545706;-0.843744025;0.057507698;0.09040745;0.681894555;0.083708054
0.100740741;0.491704375;-0.843494582;0.059043758;0.09282228;0.681909811;0.083893989
0.103463463;0.491867223;-0.843238571;0.0605765;0.095231893;0.681925405;0.084084833
0.106186186;0.492034238;-0.842976006;0.062105925;0.097636291;0.68194133;0.084280579
0.108908909;0.492205414;-0.842706902;0.063632032;0.100035473;0.681957582;0.084481216
0.111631632;0.49238074;-0.842431273;0.065154821;0.10242944;0.681974154;0.084686734
0.114354354;0.492560208;-0.842149133;0.066674293;0.104818191;0.681991041;0.084897126
0.117077077;0.492743808;-0.841860496;0.068190448;0.107201727;0.682008234;0.08511238
0.1197998;0.492931532;-0.841565377;0.069703284;0.109580047;0.68202573;0.085332488
0.122522523;0.493123371;-0.841263789;0.071212803;0.111953151;0.68204352;0.085557441
0.125245245;0.493319315;-0.840955747;0.072719005;0.11432104;0.682061598;0.085787228
0.127967968;0.493519355;-0.840641265;0.074221888;0.116683713;0.682079958;0.086021841
0.130690691;0.493723483;-0.840320357;0.075721454;0.11904117;0.682098592;0.086261271
0.133413413;0.493931689;-0.839993037;0.077217703;0.121393412;0.682117494;0.086505508
0.136136136;0.494143965;-0.83965932;0.078710634;0.123740438;0.682136657;0.086754543
0.138858859;0.494360301;-0.83931922;0.080200247;0.126082249;0.682156074;0.087008367
0.141581582;0.494580688;-0.838972751;0.081686543;0.128418844;0.682175736;0.08726697
0.144304304;0.494805117;-0.838619927;0.083169521;0.130750223;0.682195638;0.087530343
